Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,906506607373006","-1,11864782435858","-0,0645903984698896",0,0,0,"199,387495804579","10,5663994006333","1,27796504504511E-10","2,82196582358364E-10","42,9922092220749","7,13111678705662E-12","52,3668102113991",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/base_link.STL,,Optical-platform-1;PFR90150-8-Solidworks-1;PFR90150-8-Solidworks-2;Optical-platform-2;PFR90150-8-Solidworks-3;Optical-platform-3;PFR90150-8-Solidworks-4;Optical-platform-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
SlideRail,"0,866665161394367","0,200928921167978","-1,43995243789587",0,0,0,"9,10141973800531","7,2200527077908","6,58677957674569E-06","2,47766910422405E-07","7,22100259175683","-2,22783563372611E-08","0,00462584403154548",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/SlideRail.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/SlideRail.STL,,LD6030-S3500-linerar-actuactor-1,Origin_SlideRail-j,,SlideRail-j,fixed,"2,2044","-0,31797","0,29704","-1,5708",0,"-1,5708",base_link,0,0,0,,,,,,,,,,,,
RobotBase,"-0,00404752744529402","0,0637675180517647","0,0724834929980328",0,0,0,"1,14266042467365","0,00151841225352524","1,49355567893237E-06","1,73102113053107E-06","0,00274882213327468","-3,14623443477032E-07","0,00136637515019257",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/RobotBase.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/RobotBase.STL,,LD6030SlideStage_-1;SlideRail-Robot-baseboard-1;base-1,Origin_RobotBase-j,Axis_RobotBase-j,RobotBase-j,prismatic,"0,8613","0,2115","-2,8602","3,1416",0,0,SlideRail,0,0,1,0,0,-4,4,,,,,,,,
arm1,"0,00685553937981664","0,113055754742752","-0,0319364397196832",0,0,0,"0,675270731859806","0,00202049846045333","2,1595440070163E-06","-1,28544229522281E-05","0,00191415489362235","-0,000448958622264817","0,000845244420385655",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm1.STL,,arm1-1,Origin_arm1-j,Axis_arm1-j,arm1-j,revolute,"-0,0041396","0,095257","0,072641",0,0,0,RobotBase,0,1,0,0,0,-175,180,,,,,,,,
arm2,"0,00934921836749636","0,050968485668847","-6,27171795658521E-06",0,0,0,"0,271676192230461","0,00133562993036315","-1,01591687129694E-08","1,05560141265999E-11","0,000109874068209674","-8,79700367721104E-09","0,0012911750222442",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm2.STL,,arm2-1,Origin_arm2-j,Axis_arm2-j,arm2-j,revolute,0,"0,19707","0,095476","1,5708",0,0,arm1,1,0,0,0,0,-90,180,,,,,,,,
arm3,"-0,00340437043110531","-5,11241685569042E-06","0,0310100738015653",0,0,0,"0,293438315475955","0,000573707689974129","-3,2473057372314E-09","2,23455758974529E-06","0,000542174612167973","3,78430629941778E-09","6,73628408544744E-05",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/arm3.STL,,arm3-1,Origin_arm3-j,Axis_arm3-j,arm3-j,revolute,0,"0,2032",0,"-1,5708",0,0,arm2,1,0,0,0,0,-142,142,,,,,,,,
wrist1,"-5,1119E-05","5,5335E-07","3,3649E-05",0,0,0,"0,019467","1,9403E-06","-2,6056E-12","3,726E-11","5,5184E-06","1,4992E-08","6,4217E-06",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/wrist1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/wrist1.STL,,wrist1-1,Origin_wrist1-j,Axis_wrist1-j,wrist1-j,revolute,0,0,"0,1524","0,016592",0,"-3,1416",arm3,1,0,0,0,0,-135,135,,,,,,,,
wrist2,"-9,74873192043368E-05","0,00113235857781457","0,0343595995073909",0,0,0,"0,0107694009383611","3,78310186730164E-06","-6,90021934175136E-13","-2,09501677057643E-12","3,85897258651782E-06","-1,13747753917068E-07","8,95604606902071E-07",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/wrist2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/wrist2.STL,,wrist2-1,Origin_wrist2-j,Axis_wrist2-j,wrist2-j,revolute,0,0,0,0,0,0,wrist1,0,"0,016592","0,99986",0,0,360,350,,,,,,,,
gripper,"1,10282947725766","-0,0701169459120974","2,78560724279916",0,0,0,"1,24999135313939","0,000340540281739785","3,14164094804625E-06","-1,52074431963212E-07","0,000270267274639191","1,46504278799866E-06","0,000269224814017906",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/gripper.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/gripper.STL,,Gripper-Heidstar-1,Origin_gripper-j,Axis_gripper-j,gripper-j,fixed,"-2,73703670415686","1,09480351822385","-0,0213981660270632","-1,57079632964652","-0,0165923813541522","-1,57079615491364",wrist2,0,0,0,,,,,,,,,,,,
squid1,"0,00217519723344894","0,107745951384962","-0,0152297106388053",0,0,0,"3,63619504672605","0,0528314659485867","-3,98656771778607E-06","-0,000282892683176612","0,0673167761503227","6,61872461981687E-07","0,0195251698514205",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/squid1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/squid1.STL,,SquidMicroscope-Heidstar-Simplified-1,Origin_squid-j,,squid-j,fixed,"-0,69586","-0,66731","0,059932","1,5708",0,"3,1416",base_link,0,0,0,,,,,,,,,,,,
microplate_incubator,"-0,166432525066334","0,314375603156406","-0,182353009501486",0,0,0,"4,15140484031969","0,0412959434046891","-2,28349994456826E-06","2,87903526488927E-05","0,0175131319455678","9,74814592294234E-05","0,039296810124074",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/microplate_incubator.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/microplate_incubator.STL,,Assem1-1/alu profile 30x30-500-4;Assem1-1/alu profile 30x30-500-2;Assem1-1/alu profile30x30-400-3;Assem1-1/alu profile 30x30-5;Assem1-1/alu profile 30x30-2;Assem1-1/alu profile 30x30-1;Assem1-1/alu profile 30x30-500-1;Assem1-1/alu profile30x30-400-1;Assem1-1/alu profile 30x30-500-3;Assem1-1/A-WellPlateHotelV2-1/3060AluminumProfile-1;Assem1-1/A-WellPlateHotelV2-2/3060AluminumProfile-1;Assem1-1/alu profile 30x30-4;Assem1-1/alu profile30x30-400-4;Assem1-1/alu profile 30x30-6;Assem1-1/alu profile 30x30-3;Assem1-1/alu profile30x30-400-5;Assem1-1/alu profile 30x30-500-8;Assem1-1/alu profile 30x30-500-5;Assem1-1/alu profile 30x30-7;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-9;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-9;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-8;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-8;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-7;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-7;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-1;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-1;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-2;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-2;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-3;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-3;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-4;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-4;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-5;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-5;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-6;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-6;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-12;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-12;Assem1-1/A-WellPlateHotelV2-2/hotel-core-unit-v2-10;Assem1-1/A-WellPlateHotelV2-1/hotel-core-unit-v2-10,Origin_microplate_incubator-j,,microplate_incubator-j,fixed,"-0,032512","-0,82567","0,0612","1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
1,"7,0532832383785E-05","4,59589526852211E-05","-0,00753805993131684",0,0,0,"0,0868244944825263","5,64144498466678E-05","2,40742980191029E-07","1,27388068981696E-08","0,000126271352614738","8,29625367427315E-09","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/1.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/1.STL,,96wellplate-1,Origin_1j,,1j,fixed,"-0,14606","-0,68319","0,46012","3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
2,"7,0532832383785E-05","4,59589526852766E-05","-0,00753805993131679",0,0,0,"0,0868244944825262","5,64144498466677E-05","2,40742980191022E-07","1,27388068981685E-08","0,000126271352614738","8,29625367428312E-09","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/2.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/2.STL,,96wellplate-2,Origin_2j,,2j,fixed,"-0,25543","-0,68319","0,46012","3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
3,"7,0532832383785E-05","4,59589526852211E-05","-0,00753805993131673",0,0,0,"0,0868244944825262","5,64144498466678E-05","2,40742980191027E-07","1,27388068981704E-08","0,000126271352614738","8,29625367427234E-09","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/3.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/3.STL,,96wellplate-4,Origin_3j,,3j,fixed,"-0,14606","-0,68319","0,42998","3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
4,"7,05328323838961E-05","4,59589526852766E-05","-0,00753805993131673",0,0,0,"0,0868244944825262","5,64144498466677E-05","2,40742980191021E-07","1,27388068981687E-08","0,000126271352614738","8,29625367428251E-09","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/4.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/4.STL,,96wellplate-3,Origin_4j,,4j,fixed,"-0,25543","-0,68319","0,42998","3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
5,"7,0532832383785E-05","4,59589526852211E-05","-0,00753805993131679",0,0,0,"0,0868244944825262","5,64144498466678E-05","2,40742980191027E-07","1,27388068981695E-08","0,000126271352614738","8,29625367427322E-09","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/5.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-2/meshes/5.STL,,96wellplate-8,Origin_5j,,5j,fixed,"-0,14606","-0,68319","0,40006","3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
