Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
OpticalTable,"0,90651","-0,06459","1,1186",0,0,0,"199,39","10,566","2,822E-10","-1,278E-10","52,367","-7,1305E-12","42,992",0,0,0,0,0,0,package://SimulatedLab/meshes/OpticalTable.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://SimulatedLab/meshes/OpticalTable.STL,,Optical-platform-1;PFR90150-8-Solidworks-1;PFR90150-8-Solidworks-2;Optical-platform-2;PFR90150-8-Solidworks-3;Optical-platform-3;PFR90150-8-Solidworks-4;Optical-platform-4,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
SlideRail,"0,0092792","-0,043093","0,60802",0,0,0,"9,3221","7,2203","6,5868E-06","2,4777E-07","7,2215","-2,2278E-08","0,0048847",0,0,0,0,0,0,package://SimulatedLab/meshes/SlideRail.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://SimulatedLab/meshes/SlideRail.STL,,SlideRail-GroundBase-1;LD6030-S3500-linerar-actuactor-1,Origin_rail-fix,,rail-fix,fixed,"0,14169","-1,1751","0,052089","-1,5708",0,"-1,5708",OpticalTable,0,0,0,,,,,,,,,,,,
SlideBrick,"-0,0043089","0,040587","0,072566",0,0,0,"0,41998","0,00051075","1,166E-06","2,9612E-10","0,0010393","-1,1349E-09","0,00060887",0,0,0,0,0,0,package://SimulatedLab/meshes/SlideBrick.STL,1,1,1,1,0,0,0,0,0,0,package://SimulatedLab/meshes/SlideBrick.STL,,LD6030SlideStage_-1,Origin_Slide,Axis_Slide,Slide,prismatic,"0,0041396","-0,033447","-0,7972","3,1416",0,0,SlideRail,0,0,1,0,0,-1,3,,,,,,,,
Rail-Robot-connector,"8,9813E-05","0,011003","-0,00012483",0,0,0,"0,55039","0,00066968","1,4513E-07","-1,9344E-06","0,0015558","-2,0364E-07","0,00091884",0,0,0,0,0,0,package://SimulatedLab/meshes/Rail-Robot-connector.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://SimulatedLab/meshes/Rail-Robot-connector.STL,,SlideRail-Robot-baseboard-1,Origin_Rail-Robot-connector-fix,,Rail-Robot-connector-fix,fixed,"-0,0041396","0,055847","0,072641",0,"1,5708",0,SlideBrick,0,0,0,,,,,,,,,,,,
arm-base,"-0,0013781","0,062393","-0,049951",0,0,0,"0,17228","8,7832E-05","1,6836E-07","2,0372E-07","0,00015376","5,3127E-07","8,8824E-05",0,0,0,0,0,0,package://SimulatedLab/meshes/arm-base.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/arm-base.STL,,base-1,Origin_armbaseJ,,armbaseJ,fixed,"0,0019527","-0,0078131","0,051373",0,0,0,Rail-Robot-connector,0,0,0,,,,,,,,,,,,
arm1,"0,0068555","0,11306","-0,031936",0,0,0,"0,67527","0,0020205","2,1595E-06","-1,2854E-05","0,0019142","-0,00044896","0,00084524",0,0,0,0,0,0,package://SimulatedLab/meshes/arm1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/arm1.STL,,arm1-1,Origin_arm1J,Axis_arm1J,arm1J,revolute,"-0,0019527","0,047214","-0,051373","1,5708","-1,5708","-1,5708",arm-base,0,1,0,0,0,0,0,,,,,,,,
arm2,"0,0093492","0,050968","-6,2717E-06",0,0,0,"0,27168","0,0013356","-1,0161E-08","1,0591E-11","0,00010987","-8,797E-09","0,0012912",0,0,0,0,0,0,package://SimulatedLab/meshes/arm2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/arm2.STL,,arm2-1,Origin_arm2J,Axis_arm2J,arm2J,revolute,0,"0,19707","0,095476","-1,5675",0,0,arm1,1,0,0,0,0,0,0,,,,,,,,
arm3,"-0,0034044","-5,1122E-06","0,03101",0,0,0,"0,29344","0,00057371","-3,2473E-09","2,2346E-06","0,00054217","3,7859E-09","6,7363E-05",0,0,0,0,0,0,package://SimulatedLab/meshes/arm3.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/arm3.STL,,arm3-1,Origin_arm3J,Axis_arm3J,arm3J,revolute,0,"0,2032",0,"0,89363",0,0,arm2,1,0,0,0,0,0,0,,,,,,,,
wrist1,"-5,1119E-05","5,5335E-07","3,3649E-05",0,0,0,"0,019467","1,9403E-06","-2,6043E-12","3,7257E-11","5,5184E-06","1,4992E-08","6,4217E-06",0,0,0,0,0,0,package://SimulatedLab/meshes/wrist1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/wrist1.STL,,wrist1-1,Origin_arm-wrist,Axis_arm-wrist,arm-wrist,revolute,0,0,"0,1524","2,35",0,"3,1416",arm3,1,0,0,0,0,0,0,,,,,,,,
wrist2,"-9,7487E-05","0,0011324","0,03436",0,0,0,"0,010769","3,7831E-06","-6,8973E-13","-2,093E-12","3,859E-06","-1,1375E-07","8,956E-07",0,0,0,0,0,0,package://SimulatedLab/meshes/wrist2.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/wrist2.STL,,wrist2-1,Origin_wrist2-j,Axis_wrist2-j,wrist2-j,revolute,0,0,0,0,0,0,wrist1,0,"0,016592","0,99986",0,0,0,0,,,,,,,,
SquidMicroscope,"0,0005327","0,10804","-0,0085527",0,0,0,"3,6417","0,052832","-3,9904E-06","-0,00028322","0,067318","6,7962E-07","0,019526",0,0,0,0,0,0,package://SimulatedLab/meshes/SquidMicroscope.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://SimulatedLab/meshes/SquidMicroscope.STL,,SquidMicroscope-Heidstar-Rebuild-1,Origin_microscope-fix,,microscope-fix,fixed,"-0,073823","-0,66731","0,059932","1,5708",0,"3,1416",OpticalTable,0,0,0,,,,,,,,,,,,
MicroplateHolder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://SimulatedLab/meshes/MicroplateHolder.STL,1,1,1,1,0,0,0,0,0,0,package://SimulatedLab/meshes/MicroplateHolder.STL,,A-WellPlateHotelV2-1,Origin_hotel-fix,Axis_hotel-fix,hotel-fix,fixed,"0,818329937973544","-0,725482308658135","0,129836500776815","1,5707963267949",0,0,OpticalTable,0,0,0,,,,,,,,,,,,
