Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.653049682164994,0.306864386533706,0.21880478316424,0,0,0,462.943637851792,36.0265418542219,0.00282870253676954,4.69489500754803E-10,76.7256657120751,-0.0348331755633966,67.5997793901124,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/base_link.STL,,Optical-platform-1;Optical-platform-2;Optical-platform-3;Optical-platform-4;PFR90150-8-Solidworks-1;PFR90150-8-Solidworks-2;PFR90150-8-Solidworks-3;PFR90150-8-Solidworks-4;SlideRail-GroundBase-1;LD6030-S3500-linerar-actuactor-1;SquidMicroscope-Heidstar-Simplified-3;SquidMicroscope-Heidstar-Simplified-4;SquidMicroscope-Heidstar-Simplified-9;SquidMicroscope-Heidstar-Simplified-7;SquidMicroscope-Heidstar-Simplified-10;SquidMicroscope-Heidstar-Simplified-11;SquidMicroscope-Heidstar-Simplified-12;SquidMicroscope-Heidstar-Simplified-13;SquidMicroscope-Heidstar-Simplified-15;SquidMicroscope-Heidstar-Simplified-16;cytomat-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
slide,-0.072603,0.012331,0.0033339,0,0,0,0.41998,0.00060887,2.9612E-10,-1.1349E-09,0.00051075,1.166E-06,0.0010393,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/slide.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/slide.STL,,LD6030SlideStage_-1,Origin_slide-j,Axis_slide-j,slide-j,prismatic,-1.53877545795636,0.0374543865750461,0.0706999999999998,0,0,0,base_link,1,0,0,0,0,0,3.4,,,,,,,,
base,-0.072732,0.012744,0.039902,0,0,0,0.72268,0.00075751,1.7307E-06,-3.1349E-07,0.0010077,3.2751E-07,0.0017096,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/base.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/base.STL,,SlideRail-Robot-baseboard-1;base-1,Origin_slide-j,,base-j,fixed,0,0,0,0,0,0,slide,0,0,0,0,0,0,0,,,,,,,,
arm1,-0.031936,0.0068556,0.11306,0,0,0,0.67527,0.00084524,-1.2855E-05,-0.00044896,0.0020205,2.1595E-06,0.0019142,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm1.STL,,arm1-1,Origin_joint0,Axis_joint0,arm1j,revolute,-0.072527,0.0125,0.05791,0,0,0,base,0,0,1,0,0,0,0,,,,,,,,
arm2,0.13154,0.44227,-0.21093,0,0,0,3.6362,0.052831,0.00028289,3.9866E-06,0.019525,6.6187E-07,0.067317,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm2.STL,,SquidMicroscope-Heidstar-Simplified-15,Origin_joint1,Axis_joint1,arm2j,revolute,0.095476,0,0.19707,0,0,0,arm1,0,1,0,0,0,0,0,,,,,,,,
arm3,0.03101,-0.0034044,-5.1127E-06,0,0,0,0.29344,6.7363E-05,2.2346E-06,3.7979E-09,0.00057371,-3.2528E-09,0.00054217,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/arm3.STL,,arm3-1,Origin_joint2,Axis_joint2,arm3-j,revolute,0.2032,0,0,0,0,0,arm2,0,1,0,0,0,0,0,,,,,,,,
wrist1,3.3653E-05,5.112E-05,4.9987E-09,0,0,0,0.019467,6.4219E-06,-3.7209E-11,4.9331E-13,1.9403E-06,-2.6062E-12,5.5182E-06,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/wrist1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/wrist1.STL,,wrist1-1,Origin_joint3,Axis_joint3,wrist1j,revolute,0.1524,0,0,0,0,0,arm3,0,-1,0,0,0,0,0,,,,,,,,
wrist2,0.03422,9.5448E-05,0.0094365,0,0,0,0.010769,8.9265E-07,2.3629E-10,6.4524E-08,3.7831E-06,2.8544E-10,3.8619E-06,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/wrist2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/wrist2.STL,,wrist2-1,Origin_joint4,Axis_joint4,wrist2j,revolute,0.00016592,0,-0.0099986,0,0,0,wrist1,1,0,0,0,0,0,0,,,,,,,,
gripper,0.0094918,-0.048605,0.02395,0,0,0,1.25,0.00027027,1.4536E-06,-3.1469E-06,0.00026923,4.1089E-07,0.00034054,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/gripper.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/gripper.STL,,Gripper-Heidstar-1;Camera-assem-1,Origin_gripper-j,,gripperj,fixed,0.049699,3.9885E-05,-0.0058763,0,0,0,wrist2,0,0,0,,,,,,,,,,,,
plate-incubator,-4.59589526851101E-05,-7.05328325164567E-05,0.00753805993131557,0,0,0,0.0868244944825265,0.000126271352614738,2.40742980192318E-07,8.29625367850005E-09,5.64144498466671E-05,1.27388047133168E-08,0.000180549328693109,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/plate-incubator.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/plate-incubator.STL,,96wellplate-2,Origin_plate-incubator-j,,plate-incubator-j,fixed,1.4197,0.33999,0.26826,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plate-microscope,4.59589526852211E-05,7.05328323838406E-05,0.00753805993131673,0,0,0,0.0868244944825262,0.000126271352614738,2.40742980191728E-07,-8.29625367427433E-09,5.64144498466676E-05,-1.27388068978214E-08,0.000180549328693109,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/plate-microscope.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4/meshes/plate-microscope.STL,,96wellplate-1,Origin_plate-microscope-j,,plate-microscope-j,fixed,0.89452,0.40325,0.2996,0,0,0,base_link,0,0,0,,,,,,,,,,,,
